unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
dbb17171bc5fc03e1407c59d9024374ef39830a3,65ab5e5561c4e789088e26cb8dc841aeb6f3f95c8558d8729d58f0b7483bd8c948f88be84c8124d267f5f1c0a6f36e17761964c2ed188a6dd878341c3b85e8d3,2013-01-05 20:15:00 UTC,2013-01-05 20:30:00 UTC,720,10.4,,,,,25.05,0,0,0,25.05,Cash,,,,,,,
c32f42bd4bcf3f022746146f39ba87b1fb28577e,65ab5e5561c4e789088e26cb8dc841aeb6f3f95c8558d8729d58f0b7483bd8c948f88be84c8124d267f5f1c0a6f36e17761964c2ed188a6dd878341c3b85e8d3,2013-01-05 19:45:00 UTC,2013-01-05 20:00:00 UTC,1500,13.7,,,,,33.65,0,0,1,34.65,Cash,,,,,,,
10848537a3dfcdd93ee2702b01224c9a9dfd298f,65ab5e5561c4e789088e26cb8dc841aeb6f3f95c8558d8729d58f0b7483bd8c948f88be84c8124d267f5f1c0a6f36e17761964c2ed188a6dd878341c3b85e8d3,2013-01-05 20:00:00 UTC,2013-01-05 20:00:00 UTC,0,0,,,,,18,0,0,0,18,Credit Card,,,,,,,
441f9d6b0b57edf1a2362ff213f70225d7359961,65ab5e5561c4e789088e26cb8dc841aeb6f3f95c8558d8729d58f0b7483bd8c948f88be84c8124d267f5f1c0a6f36e17761964c2ed188a6dd878341c3b85e8d3,2013-01-05 23:15:00 UTC,2013-01-05 23:30:00 UTC,900,7.7,,,,,19.45,0,0,0,19.45,Cash,,,,,,,
056fb2bc65d56f94630d2576a33bc87e6ec41734,65ab5e5561c4e789088e26cb8dc841aeb6f3f95c8558d8729d58f0b7483bd8c948f88be84c8124d267f5f1c0a6f36e17761964c2ed188a6dd878341c3b85e8d3,2013-01-05 23:30:00 UTC,2013-01-05 23:30:00 UTC,0,0.2,,,,,2.65,0,0,0,2.65,Cash,,,,,,,
d4a6cf0629adbd97dd86a11d11b9f7485e91fb8e,65ab5e5561c4e789088e26cb8dc841aeb6f3f95c8558d8729d58f0b7483bd8c948f88be84c8124d267f5f1c0a6f36e17761964c2ed188a6dd878341c3b85e8d3,2013-01-06 00:00:00 UTC,2013-01-06 00:15:00 UTC,420,5.2,,,,,13.65,0,0,0,13.65,Cash,,,,,,,
7790cdf8e393ed2a5358429676b88293021457d5,65ab5e5561c4e789088e26cb8dc841aeb6f3f95c8558d8729d58f0b7483bd8c948f88be84c8124d267f5f1c0a6f36e17761964c2ed188a6dd878341c3b85e8d3,2013-01-05 02:30:00 UTC,2013-01-05 03:00:00 UTC,1260,12.3,,,,,30.25,0,0,2,32.25,Credit Card,,,,,,,
4c35bc91600a2c1b0509ec25cd8b92399557edd4,65ab5e5561c4e789088e26cb8dc841aeb6f3f95c8558d8729d58f0b7483bd8c948f88be84c8124d267f5f1c0a6f36e17761964c2ed188a6dd878341c3b85e8d3,2013-01-05 04:45:00 UTC,2013-01-05 05:15:00 UTC,1740,11.2,,,,,27,0,0,1,28,Cash,,,,,,,
3bd3821bf3f43fe152a2fdbddc40e1181f3644c9,65ab5e5561c4e789088e26cb8dc841aeb6f3f95c8558d8729d58f0b7483bd8c948f88be84c8124d267f5f1c0a6f36e17761964c2ed188a6dd878341c3b85e8d3,2013-01-05 18:00:00 UTC,2013-01-05 18:15:00 UTC,240,1.1,,,,,5.05,0,0,0,5.05,Cash,,,,,,,
ceff0517b86a64c9e3f87cc4d19c42e71b3d6134,65ab5e5561c4e789088e26cb8dc841aeb6f3f95c8558d8729d58f0b7483bd8c948f88be84c8124d267f5f1c0a6f36e17761964c2ed188a6dd878341c3b85e8d3,2013-01-05 18:00:00 UTC,2013-01-05 18:00:00 UTC,60,0.2,,,,,2.65,0,0,0,2.65,Cash,,,,,,,
c2c37c9afb11f41818d8e29da44cbb065983013e,65ab5e5561c4e789088e26cb8dc841aeb6f3f95c8558d8729d58f0b7483bd8c948f88be84c8124d267f5f1c0a6f36e17761964c2ed188a6dd878341c3b85e8d3,2013-01-05 18:15:00 UTC,2013-01-05 18:30:00 UTC,660,3.8,,,,,11.25,0,0,0,11.25,Cash,,,,,,,
0526b960f2603a66ed20520ca19ec2f0ea55ecb2,65ab5e5561c4e789088e26cb8dc841aeb6f3f95c8558d8729d58f0b7483bd8c948f88be84c8124d267f5f1c0a6f36e17761964c2ed188a6dd878341c3b85e8d3,2013-01-05 19:15:00 UTC,2013-01-05 19:30:00 UTC,120,0.8,,,,,3.85,0,0,0,3.85,Cash,,,,,,,
