trip_seconds,tips,fare
166,5.0,4.0
301,3.0,4.6
282,0.22,6.6
701,5.0,12.4
829,2.04,12.6
672,2.0,9.0
1235,4.92,24.6
538,5.0,12.2
586,2.65,10.6
495,2.0,8.8
393,2.0,6.2
919,3.69,22.6
313,2.5,6.4
513,3.06,10.2
390,1.0,7.0
2929,3.0,0.01
914,8.0,0.01
561,1.0,9.4
1181,10.0,16.8
472,1.0,7.0
444,1.0,8.6
116,5.0,0.01
625,1.0,9.0
1107,3.9,15.6
1722,3.93,26.2
453,2.0,8.2
300,2.0,5.0
1043,3.4,17.0
1018,2.46,16.4
389,2.0,6.0
592,1.0,8.8
308,2.0,4.4
529,3.0,8.4
932,3.44,17.2
1349,3.88,19.4
2011,1.0,26.8
463,2.0,7.0
642,2.4,12.0
449,4.0,0.01
3,12.0,0.01
430,2.55,8.2
765,2.19,13.6
676,2.52,12.6
407,3.0,7.8
720,3.27,15.8
1647,8.46,56.4
709,4.4,14.0
6,3.0,0.01
638,3.0,8.8
607,3.0,8.6
856,9.0,0.01
357,1.6,7.4
903,3.75,15.0
507,2.0,6.4
3828,5.52,27.6
1221,3.03,20.2
473,1.0,7.2
113,6.0,0.01
1095,4.28,19.4
368,2.0,5.8
1238,6.95,27.8
863,2.72,13.6
1870,6.06,40.4
10,10.0,0.01
2759,3.0,31.0
1733,5.0,49.0
814,2.6,13.0
926,55.0,14.6
2980,10.52,52.6
308,4.0,0.01
516,1.56,10.4
899,4.0,20.0
5,7.0,0.01
1719,5.0,0.01
12,5.0,0.01
635,2.0,9.8
412,2.0,8.2
720,2.68,13.4
30,2.0,0.01
15,8.5,0.01
668,2.65,10.6
1947,5.0,0.01
921,2.1,14.0
296,1.0,5.6
319,2.0,5.8
847,5.5,0.01
1169,6.05,16.2
26,7.0,0.01
1594,10.0,0.01
2785,12.0,0.01
4,1.0,0.01
220,2.8,4.2
7,5.0,0.01
646,1.5,10.4
501,2.0,9.4
226,0.05,3.8
1198,4.84,24.2
3465,29.52,147.6
640,3.0,9.6
1005,6.0,0.01
1347,8.0,0.01
1181,7.0,0.01
586,2.0,6.2
684,2.24,11.2
712,1.0,9.8
1310,4.0,16.0
11,1.0,3.25
47,3.0,0.01
651,1.5,11.4
741,2.28,11.4
968,4.4,22.0
470,3.0,7.6
1326,2.0,18.0
1909,6.56,32.8
1278,3.0,0.01
546,3.0,7.6
632,2.2,11.0
212,2.0,6.4
26,6.0,0.01
1775,3.48,23.2
1925,8.48,42.4
373,2.6,7.4
1718,8.6,43.0
512,1.8,8.2
652,2.0,8.8
825,4.08,20.4
1324,7.25,29.0
686,1.0,9.4
3,7.0,0.01
1674,5.0,0.01
890,2.37,15.8
918,10.0,0.01
11,6.0,0.01
149,3.0,3.2
1153,4.0,0.01
887,3.15,21.0
467,1.0,8.2
655,7.0,0.01
995,5.0,9.4
4795,9.0,0.01
1667,7.0,0.01
1057,2.76,13.8
708,1.0,8.6
2677,14.94,95.6
433,1.24,6.2
528,2.0,8.6
10,7.0,0.01
633,1.0,8.0
562,2.8,11.2
1113,3.52,17.6
1544,6.0,0.01
644,2.67,11.8
1547,5.16,25.8
797,1.0,13.2
247,2.0,4.2
21,5.0,0.01
373,5.0,6.6
580,0.6,12.4
110,5.0,0.01
763,20.0,0.01
235,2.0,4.8
398,3.0,6.8
490,1.74,11.6
474,2.0,7.8
2235,14.3,57.2
718,2.8,14.0
1894,7.0,0.01
1220,5.0,0.01
1109,6.0,0.01
1026,5.5,0.01
1213,5.0,0.01
317,1.0,6.4
251,2.0,4.6
480,2.0,8.2
765,3.45,13.8
470,1.0,7.8
476,1.89,12.6
1537,10.0,0.01
2108,4.0,22.4
199,0.4,4.6
760,3.05,12.2
1684,6.68,33.4
48,5.0,0.01
714,2.32,11.6
372,2.0,5.6
1131,2.72,13.6
290,8.0,0.01
830,2.08,12.6
298,3.0,6.2
622,1.11,12.8
634,2.0,7.8
39,8.0,0.01
646,2.2,10.0
771,6.0,0.01
916,3.0,20.0
155,10.0,0.01
5,9.0,0.01
831,3.28,16.4
928,3.08,15.4
977,2.37,15.8
832,6.0,0.01
1511,6.0,0.01
867,3.2,12.8
1648,8.0,0.01
101,7.0,0.01
1223,5.4,21.6
13,1.5,0.01
1024,3.3,22.0
1286,4.96,24.8
5,6.0,0.01
69,6.0,0.01
16,10.0,0.01
399,3.0,7.8
1212,7.0,0.01
73860,5.92,39.45
240,1.0,5.65
240,0.97,5.45
380,1.0,6.4
984,4.62,30.8
448,2.0,9.4
468,3.0,8.6
559,2.0,7.2
521,2.0,8.4
243,1.0,5.0
259,3.0,4.8
1471,9.24,42.2
1370,4.24,21.2
4065,5.0,67.4
558,2.0,8.8
518,1.0,8.8
701,1.71,11.4
856,5.0,15.0
2200,7.0,0.01
104,2.0,2.6
949,3.84,19.2
846,6.0,0.01
1094,5.0,0.01
219,3.0,4.2
356,2.0,5.0
211,2.0,4.0
760,8.0,0.01
988,3.6,18.0
489,1.68,11.2
298,1.0,6.2
454,3.0,7.6
694,2.0,9.6
563,3.06,10.2
85,6.0,0.01
25,10.0,0.01
484,2.0,8.2
715,3.0,9.6
304,2.5,5.6
1252,5.36,26.8
1322,5.55,22.2
1388,5.5,22.0
411,1.0,7.8
1188,2.92,14.6
378,3.0,5.8
359,2.0,6.8
385,1.0,8.0
401,1.0,6.4
240,1.0,7.0
883,2.37,15.8
1022,3.0,24.8
693,2.8,11.2
525,3.0,7.4
17,10.0,0.01
1997,10.0,0.01
473,2.0,10.0
27,7.0,0.01
236,1.0,5.0
17,8.0,0.01
6,6.0,0.01
30,11.0,0.01
838,3.16,15.8
823,3.15,12.6
368,2.0,7.2
28,9.0,0.01
528,2.0,8.6
2,6.0,0.01
8,3.0,0.01
2407,9.0,0.01
1641,7.0,0.01
1102,2.0,27.2
406,1.0,5.8
17,12.0,0.01
7,7.0,0.01
1884,4.5,0.01
6,10.0,0.01
455,3.0,8.2
781,2.84,14.2
1703,8.0,0.01
35,1.0,0.01
4106,10.0,90.8
2575,5.45,21.8
21,5.0,0.01
2039,6.0,0.01
2463,14.12,68.6
1519,5.0,0.01
1634,8.0,0.01
716,4.0,0.01
345,1.0,6.0
290,3.0,0.01
15,10.0,0.01
1012,5.65,22.6
602,1.0,11.0
17,4.0,0.01
1498,4.0,0.01
276,2.0,5.6
481,2.0,8.8
840,4.08,20.4
633,2.0,9.4
973,2.0,18.6
2553,24.8,63.2
282,1.0,7.6
420,1.0,7.45
720,2.0,7.85
180,1.0,4.65
1004,5.37,17.9
808,3.48,17.4
955,3.84,12.8
1027,12.2,12.2
987,1.5,22.7
900,2.65,12.25
120,3.0,4.05
600,1.5,14.25
1140,2.56,16.05
900,3.89,18.45
780,2.0,10.25
600,4.0,10.85
1920,5.92,39.45
360,1.45,6.25
240,1.17,4.85
360,2.0,5.65
960,3.0,13.65
2100,8.41,31.65
180,6.0,4.65
540,3.0,10.25
900,2.0,8.44
780,2.0,7.65
900,2.0,13.05
1140,3.77,18.85
1200,3.0,12.45
1501,5.6,28.0
657,2.12,10.6
1611,8.0,0.01
1021,2.1,14.0
585,3.0,0.01
1619,10.0,0.01
65,1.0,0.01
1457,5.0,0.01
347,1.0,7.0
6,5.0,0.01
1814,11.6,58.0
277,3.0,5.2
584,2.0,8.8
352,1.0,8.2
529,2.0,8.0
543,2.0,7.4
1518,4.11,27.4
626,4.1,16.4
1045,3.78,25.2
1273,4.11,27.4
1064,3.54,19.6
489,3.0,7.8
671,2.49,14.6
2898,2.8,32.2
460,3.0,10.0
862,2.7,10.8
747,1.0,15.4
754,3.7,14.8
366,2.0,6.0
642,3.04,15.2
863,3.2,16.0
400,2.0,6.2
1740,4.24,21.2
466,2.0,8.8
